disease_en,disease_en_clean,disease_th,icd10_chapter,icd10_chapter_name,icd10_code,primary_specialty,secondary_specialty,urgency_level,red_flags
Fungal infection,Fungal infection,การติดเชื้อรา,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,B35,ผิวหนัง (Dermatology),โรคติดเชื้อ (ID),5,ผื่นลามเร็ว · มีไข้สูง · ในผู้ภูมิคุ้มกันต่ำ
Allergy,Allergy,ภูมิแพ้,XIX,การบาดเจ็บ พิษ และเหตุภายนอก,T78.4,อายุรกรรมภูมิแพ้ (Allergy/Immunology),เวชศาสตร์ทั่วไป (GP),4,หายใจไม่ออก · บวมหน้า/ปาก/ลิ้น · ความดันต่ำ (anaphylaxis → 1)
GERD,GERD,กรดไหลย้อน,XI,โรคระบบทางเดินอาหาร,K21,อายุรกรรมทางเดินอาหาร (GI),เวชศาสตร์ทั่วไป (GP),5,เจ็บหน้าอกร้าวไปแขน (อาจเป็นหัวใจ) · อาเจียนเป็นเลือด · น้ำหนักลดเร็ว
Chronic cholestasis,Chronic cholestasis,ภาวะคั่งน้ำดีเรื้อรัง,XI,โรคระบบทางเดินอาหาร,K83.1,อายุรกรรม GI/ตับ (Hepatology),ศัลยกรรม (Surgery),3,ตัวเหลืองมาก · มีไข้ · ปวดท้องบนขวารุนแรง
Drug Reaction,Drug Reaction,ปฏิกิริยาแพ้ยา,XIX,การบาดเจ็บ พิษ และเหตุภายนอก,T88.7,ห้องฉุกเฉิน (ER),อายุรกรรมภูมิแพ้,2,หายใจไม่ออก · ผื่นลามทั้งตัว · มีไข้สูง · ผิว/เยื่อบุลอก (SJS/TEN)
Peptic ulcer diseae,Peptic ulcer disease,แผลในกระเพาะอาหาร/ลำไส้,XI,โรคระบบทางเดินอาหาร,K27,อายุรกรรมทางเดินอาหาร (GI),เวชศาสตร์ทั่วไป (GP),4,อาเจียนเป็นเลือด · ถ่ายดำ · ปวดท้องเฉียบพลันรุนแรง (perforation)
AIDS,HIV/AIDS,เอดส์ (HIV/AIDS),I,โรคติดเชื้อและปรสิต,B24,โรคติดเชื้อ (ID),อายุรกรรมทั่วไป (Internal Medicine),3,ไข้สูง > 38.5 · ระดับสติเปลี่ยน · opportunistic infection
Diabetes ,Diabetes mellitus,เบาหวาน,IV,โรคต่อมไร้ท่อ โภชนาการ และเมตาบอลิซึม,E11,อายุรกรรมต่อมไร้ท่อ (Endocrinology),เวชศาสตร์ทั่วไป (GP),4,ระดับสติลดลง · ลมหายใจกลิ่นผลไม้ (DKA) · น้ำตาลต่ำ/สูงมาก
Gastroenteritis,Gastroenteritis,ลำไส้อักเสบ,I,โรคติดเชื้อและปรสิต,A09,อายุรกรรมทั่วไป (Internal Medicine),ทางเดินอาหาร (GI),4,ถ่ายเป็นเลือด · ขาดน้ำมาก · อาเจียนหยุดไม่ได้ · ในเด็ก/ผู้สูงอายุ
Bronchial Asthma,Bronchial Asthma,หอบหืด,X,โรคระบบทางเดินหายใจ,J45,อายุรกรรมโรคปอด (Pulmonology),เวชศาสตร์ทั่วไป (GP),3,หายใจไม่ออก · พูดได้แค่คำสั้นๆ · ริมฝีปากเขียว · sat O₂ < 92%
Hypertension ,Hypertension,ความดันโลหิตสูง,IX,โรคระบบไหลเวียนโลหิต,I10,อายุรกรรมหัวใจ (Cardiology),เวชศาสตร์ทั่วไป (GP),4,ปวดหัวรุนแรง · ตามัว · BP > 180/120 · เจ็บหน้าอก
Migraine,Migraine,ไมเกรน,VI,โรคระบบประสาท,G43,อายุรกรรมประสาท (Neurology),เวชศาสตร์ทั่วไป (GP),4,ปวดหัวรุนแรงที่สุดในชีวิต · อ่อนแรงข้างเดียว · สับสน
Cervical spondylosis,Cervical spondylosis,หมอนรองกระดูกคอเสื่อม,XIII,โรคระบบกล้ามเนื้อ กระดูก และเนื้อเยื่อเกี่ยวพัน,M47.2,ออร์โธปิดิกส์ (Orthopedics),อายุรกรรมประสาท (Neurology),4,อ่อนแรงแขน/ขาทันที · ปัสสาวะ/อุจจาระไม่ออก · กลั้นไม่ได้
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),อัมพาต (เลือดออกในสมอง),IX,โรคระบบไหลเวียนโลหิต,I61,ห้องฉุกเฉิน (ER),อายุรกรรมประสาท (Neurology),1,ปากเบี้ยว · แขน-ขาอ่อนแรง · พูดไม่ชัด (FAST) · ระดับสติลดลง
Jaundice,Jaundice,ดีซ่าน,XVIII,อาการ และผลการตรวจที่ผิดปกติ,R17,อายุรกรรม GI/ตับ (Hepatology),เวชศาสตร์ทั่วไป (GP),3,สับสน/ระดับสติเปลี่ยน · ถ่ายดำ · ไข้สูง · ปวดท้องบนขวารุนแรง
Malaria,Malaria,มาลาเรีย (ไข้จับสั่น),I,โรคติดเชื้อและปรสิต,B54,โรคติดเชื้อ (ID),อายุรกรรมทั่วไป,2,ระดับสติลดลง (cerebral) · ปัสสาวะสีดำ · ไข้สูง > 39 · มาจากพื้นที่ระบาด
Chicken pox,Chicken pox (Varicella),อีสุกอีใส,I,โรคติดเชื้อและปรสิต,B01,เวชศาสตร์ทั่วไป (GP),ผิวหนัง (Dermatology),5,ไข้สูง > 39 · ปอดอักเสบ · ในผู้ใหญ่/หญิงตั้งครรภ์/ภูมิคุ้มกันต่ำ
Dengue,Dengue fever,ไข้เลือดออก,I,โรคติดเชื้อและปรสิต,A90,อายุรกรรมทั่วไป (Internal Medicine),โรคติดเชื้อ (ID),3,ปวดท้องรุนแรง · อาเจียนต่อเนื่อง · จุดเลือด/เลือดกำเดา · ระดับสติเปลี่ยน
Typhoid,Typhoid fever,ไข้รากสาดน้อย (Typhoid),I,โรคติดเชื้อและปรสิต,A01.0,โรคติดเชื้อ (ID),อายุรกรรมทั่วไป,3,ระดับสติเปลี่ยน · ปวดท้องเฉียบพลัน (perforation) · ไข้สูง > 39 นาน
hepatitis A,Hepatitis A,ไวรัสตับอักเสบเอ,I,โรคติดเชื้อและปรสิต,B15,อายุรกรรม GI/ตับ (Hepatology),โรคติดเชื้อ (ID),4,ตัวเหลืองมาก · สับสน (encephalopathy) · เลือดออกผิดปกติ
Hepatitis B,Hepatitis B,ไวรัสตับอักเสบบี,I,โรคติดเชื้อและปรสิต,B16,อายุรกรรม GI/ตับ (Hepatology),โรคติดเชื้อ (ID),4,ตัวเหลืองมาก · สับสน · เลือดออกผิดปกติ
Hepatitis C,Hepatitis C,ไวรัสตับอักเสบซี,I,โรคติดเชื้อและปรสิต,B17.1,อายุรกรรม GI/ตับ (Hepatology),โรคติดเชื้อ (ID),4,ตัวเหลืองมาก · สับสน · เลือดออกผิดปกติ
Hepatitis D,Hepatitis D,ไวรัสตับอักเสบดี,I,โรคติดเชื้อและปรสิต,B17.0,อายุรกรรม GI/ตับ (Hepatology),โรคติดเชื้อ (ID),4,ตัวเหลืองมาก · สับสน · เลือดออกผิดปกติ · ต้องเป็น HBV ร่วม
Hepatitis E,Hepatitis E,ไวรัสตับอักเสบอี,I,โรคติดเชื้อและปรสิต,B17.2,อายุรกรรม GI/ตับ (Hepatology),โรคติดเชื้อ (ID),4,ตัวเหลืองมาก · สับสน · หญิงตั้งครรภ์เสี่ยงสูง
Alcoholic hepatitis,Alcoholic hepatitis,ตับอักเสบจากแอลกอฮอล์,XI,โรคระบบทางเดินอาหาร,K70.1,อายุรกรรม GI/ตับ (Hepatology),จิตเวช/ติดสารเสพติด,3,สับสน (hepatic encephalopathy) · อาเจียนเป็นเลือด · บวมท้อง
Tuberculosis,Tuberculosis,วัณโรค,I,โรคติดเชื้อและปรสิต,A15,อายุรกรรมโรคปอด (Pulmonology),โรคติดเชื้อ (ID),3,ไอเป็นเลือด · น้ำหนักลดเร็ว · ไข้สูงต่อเนื่อง · เหงื่อตอนกลางคืน
Common Cold,Common Cold,หวัดธรรมดา,X,โรคระบบทางเดินหายใจ,J00,เวชศาสตร์ทั่วไป (GP),หู คอ จมูก (ENT),5,หายใจไม่ออก · ไข้สูง > 39 · อาการนาน > 10 วัน
Pneumonia,Pneumonia,ปอดบวม,X,โรคระบบทางเดินหายใจ,J18,อายุรกรรมโรคปอด (Pulmonology),เวชศาสตร์ทั่วไป (GP),3,หายใจไม่ออก · ริมฝีปากเขียว · ระดับสติเปลี่ยน · sat O₂ < 92%
Dimorphic hemmorhoids(piles),Hemorrhoids (Piles),ริดสีดวงทวาร,XI,โรคระบบทางเดินอาหาร,K64,ศัลยกรรมทั่วไป (General Surgery),ทางเดินอาหาร (GI),5,เลือดออกมาก · ปวดรุนแรง (incarcerated) · ก้อนทวารหนีบ
Heart attack,Acute myocardial infarction,กล้ามเนื้อหัวใจตายเฉียบพลัน,IX,โรคระบบไหลเวียนโลหิต,I21,ห้องฉุกเฉิน (ER),อายุรกรรมหัวใจ (Cardiology),1,เจ็บแน่นหน้าอก > 20 นาที · ร้าวไปแขนซ้าย/กราม · เหงื่อท่วม · หายใจไม่ออก
Varicose veins,Varicose veins,เส้นเลือดขอด,IX,โรคระบบไหลเวียนโลหิต,I83,ศัลยกรรมหลอดเลือด (Vascular Surgery),ผิวหนัง (Dermatology),5,บวมข้างเดียวเฉียบพลัน (DVT) · ผิวเปลี่ยนสี · แผลไม่หาย
Hypothyroidism,Hypothyroidism,ภาวะไทรอยด์ทำงานต่ำ,IV,โรคต่อมไร้ท่อ โภชนาการ และเมตาบอลิซึม,E03,อายุรกรรมต่อมไร้ท่อ (Endocrinology),เวชศาสตร์ทั่วไป (GP),4,ระดับสติลดลง (myxedema coma) · อุณหภูมิร่างกายต่ำมาก
Hyperthyroidism,Hyperthyroidism,ภาวะไทรอยด์ทำงานเกิน,IV,โรคต่อมไร้ท่อ โภชนาการ และเมตาบอลิซึม,E05,อายุรกรรมต่อมไร้ท่อ (Endocrinology),เวชศาสตร์ทั่วไป (GP),4,ใจสั่นรุนแรง · ไข้สูง · สับสน (thyroid storm)
Hypoglycemia,Hypoglycemia,น้ำตาลในเลือดต่ำ,IV,โรคต่อมไร้ท่อ โภชนาการ และเมตาบอลิซึม,E16.2,ห้องฉุกเฉิน (ER),อายุรกรรมต่อมไร้ท่อ,2,ระดับสติลดลง · ชัก · เหงื่อท่วม + เวียน · ในผู้เป็นเบาหวาน
Osteoarthristis,Osteoarthritis,ข้อเสื่อม,XIII,โรคระบบกล้ามเนื้อ กระดูก,M19,ออร์โธปิดิกส์ (Orthopedics),อายุรกรรมรูมาโต (Rheumatology),5,บวม-ร้อนเฉียบพลัน (อาจติดเชื้อข้อ) · เคลื่อนไหวไม่ได้
Arthritis,Arthritis (general),ข้ออักเสบ,XIII,โรคระบบกล้ามเนื้อ กระดูก,M13,อายุรกรรมรูมาโต (Rheumatology),ออร์โธปิดิกส์ (Orthopedics),4,บวม-ร้อนเฉียบพลัน + ไข้ · เคลื่อนไหวไม่ได้
(vertigo) Paroymsal  Positional Vertigo,Benign Paroxysmal Positional Vertigo (BPPV),เวียนศีรษะจากการเปลี่ยนท่า (BPPV),VIII,โรคหูและกระดูกกกหู,H81.1,หู คอ จมูก (ENT),อายุรกรรมประสาท (Neurology),4,เวียนพร้อมพูดไม่ชัด/อ่อนแรง (อาจ stroke) · หูตึงเฉียบพลัน · ปวดหัวรุนแรง
Acne,Acne,สิว,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,L70,ผิวหนัง (Dermatology),—,5,(ไม่มี — ภาวะเรื้อรัง)
Urinary tract infection,Urinary tract infection (UTI),การติดเชื้อทางเดินปัสสาวะ,XIV,โรคระบบสืบพันธุ์-ปัสสาวะ,N39.0,เวชศาสตร์ทั่วไป (GP),ศัลยกรรมทางเดินปัสสาวะ (Urology),4,ไข้สูง + ปวดเอว (pyelonephritis) · อาเจียน · เด็ก/ผู้สูงอายุ/ตั้งครรภ์
Psoriasis,Psoriasis,สะเก็ดเงิน,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,L40,ผิวหนัง (Dermatology),อายุรกรรมรูมาโต (สำหรับข้ออักเสบ),5,ผื่นลามทั่วตัว + ไข้ (erythrodermic) · ข้อบวมรุนแรง
Impetigo,Impetigo,แผลพุพอง,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,L01,ผิวหนัง (Dermatology),เวชศาสตร์ทั่วไป (GP),5,ผื่นลามรอบดวงตา · มีไข้ · ปัสสาวะผิดปกติ (post-strep GN)
Influenza,Influenza,ไข้หวัดใหญ่,X,โรคระบบทางเดินหายใจ,J11,เวชศาสตร์ทั่วไป (GP),อายุรกรรมโรคปอด (Pulmonology),4,หายใจไม่ออก · sat O₂ < 92% · ปอดอักเสบแทรก · ในผู้สูงอายุ/ภูมิคุ้มกันต่ำ/ตั้งครรภ์/เด็กเล็ก
